Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
G,"Genpact Ltd",38.31,0.23,+0.60%,38.32,37.79,832800,10/24/19
GABC,"German Amer Bncp Inc",32.84,0.06,+0.18%,32.84,32.54,22200,10/23/19
GAIN,"Gladstone Investment",12.71,0.04,+0.32%,12.72,12.63,50300,10/23/19
GARS,"Garrison Capital Inc",6.67,-0.01,-0.18%,6.72,6.66,14000,10/23/19
GBCI,"Glacier Bancorp Inc",42.75,0.28,+0.66%,42.76,42.22,235700,10/23/19
GBDC,"Golub Capital Bdc",17.88,0.039999999999999,+0.22%,17.88,17.65,297700,10/24/19
GCAP,"Gain Capital Holdings",4.67,-0.03,-0.64%,4.67,4.52,78600,10/23/19
GDOT,"Green Dot Corp",25.29,-0.12,-0.47%,25.38,24.62,558400,10/24/19
GEO,"Geo Group Inc",16.12,-0.59,-3.53%,16.35,16.32,13568,"09:40 ET"
GGAL,"Grupo Fin Galicia",12.7,0.0099999999999998,+0.08%,12.71,12.26,1272200,10/24/19
GHL,"Greenhill & Co. Inc",15.94,0.0099999999999998,+0.06%,15.94,15.75,380100,10/23/19
GIB,"CGI Group",78.29,0.48,+0.62%,78.29,77.52,146200,10/24/19
GL,"Globe Life Inc",96.8,1.13,+1.18%,96.8,95.43,386500,10/24/19
GLAD,"Gladstone Cap Corp",9.81,0.07,+0.72%,9.82,9.67,105200,10/23/19
GLPI,"Gaming & Leisure",39.12,-0.010000000000005,-0.03%,39.15,38.85,513500,10/24/19
GLRE,"Greenlight Cap. Re.",10.38,0.09,+0.87%,10.43,10.25,40700,10/23/19
GMRE,"Global Medical REIT Inc",12.22,0.26,+2.17%,12.3,11.98,184800,10/23/19
GNL,"Global Net Lease Inc",19.32,-0.039999999999999,-0.21%,19.47,19.22,324600,10/24/19
GNW,"Genworth Financial Inc",3.98,-0.03,-0.75%,4.02,3.94,2423500,10/24/19
GOOD,"Gladstone Comml",22.98,-0.01,-0.04%,23.09,22.8,92200,10/23/19
GPMT,"Granite Point Mortgage Trust Inc",18.58,-0.030000000000001,-0.16%,18.62,18.52,175500,10/24/19
GRBK,"Green Brick Partners",10.56,-0.14,-1.31%,10.68,10.4,23600,10/23/19
GROW,"U S Global Inv Inc",1.9,-0.03,-1.55%,1.94,1.9,11700,10/23/19
GS,"Goldman Sachs Group",212.61,1.29,+0.61%,213,209,1583200,10/24/19
GSBC,"Great Southern Bncp",60.71,0.04,+0.07%,60.88,60.09,19000,10/23/19
GSHD,"Goosehead Insurance Inc Cl A",49.27,0.18,+0.37%,49.67,48.31,108700,10/23/19
GTY,"Getty Realty Corp",33.06,0.09,+0.27%,33.11,32.73,52400,10/23/19
GWB,"Great Western Bancorp Inc",36.1,0.59,+1.66%,36.1,34.73,343900,10/24/19
H,"Hyatt Hotels Corp",72.35,0.14999999999999,+0.21%,72.73,69.03,745500,10/24/19
HAFC,"Hanmi Financial Cp",18.34,-0.66,-3.47%,18.55,17.59,238300,10/23/19
HALL,"Hallmark Fin Svc",18.72,-0.1,-0.53%,18.72,18.52,204300,10/23/19
HASI,"Hannon Armstrong Sustainable IN",29.78,0.060000000000002,+0.20%,29.78,29.17,232000,10/24/19
HBAN,"Huntington Bcshs",14.34,-0.13,-0.90%,14.5,14.55,1628,"09:40 ET"
HBNC,"Horizon Bancorp",17.91,0.18,+1.02%,18,17.49,32600,10/24/19
HCFT,"Hunt Companies Finance Trust Inc",3.35,-0.01,-0.30%,3.36,3.33,15000,10/23/19
HCI,"Homeowners Choice",41.44,0.23,+0.56%,41.78,41.04,57900,10/23/19
HCKT,"Hackett Grp Inc",16.71,0.26,+1.58%,16.71,16.43,52500,10/23/19
HCP,"HCP Inc",37.52,-0.41,-1.08%,37.92,36.93,112,"09:40 ET"
HDB,"Hdfc Bank Ltd",59.48,0.11,+0.19%,59.52,58.82,1864600,10/24/19
HFWA,"Heritage Financial",27.73,0.08,+0.29%,27.73,27.34,113700,10/23/19
HHC,"Howard Hughes Corp",109.1,1.08,+1.00%,110.15,107.65,514800,10/23/19
HIG,"Hartford Financial Services Group",58.13,0.26000000000001,+0.45%,58.22,57.46,1820500,10/24/19
HIIQ,"Health Insurance Inn",26.26,-0.14,-0.53%,26.26,23.61,479900,10/23/19
HIW,"Highwoods Properties",44.71,0.21,+0.47%,44.67,43.8,1226900,10/24/19
HLI,"Houlihan Lokey",46.66,-0.7,-1.48%,47.48,46.18,234300,10/23/19
HLNE,"Hamilton Lane Incorporated Cl A",58.71,-0.5,-0.84%,59.35,58.56,50500,10/23/19
HLT,"Hilton Inc",95.54,-0.22999999999999,-0.24%,95.92,95.77,114,"09:40 ET"
HMN,"Horace Mann Educators Corp",45.19,0.07,+0.16%,45.19,44.49,52500,10/24/19
HMST,"Homestreet Inc",30.8,0.82,+2.74%,30.89,28.27,279900,10/23/19
HOMB,"Home Bancshares Inc",18.69,-0.049999999999997,-0.27%,18.69,18.65,392300,10/24/19
HOPE,"Hope Bancorp Inc",14.28,-0.2,-1.38%,14.3,14.38,670300,10/24/19
HPP,"Hudson Pacific Properties",33.89,0.07,+0.21%,34.13,33.62,574500,10/24/19
HR,"Healthcare Realty Trust Inc",34.27,-0.13,-0.38%,34.3,33.86,655400,10/24/19
HRTG,"Heritage Insurance Holdings",13.98,0.05,+0.36%,13.99,13.76,75000,10/23/19
HRZN,"Horizon Technology F",12.08,0.08,+0.67%,12.08,11.98,41900,10/23/19
HSBC,"HSBC Holdings Plc",39.63,0.27,+0.69%,39.77,39.7,38146,"09:40 ET"
HSII,"Heidrick & Struggl",28.16,0.010000000000002,+0.04%,28.04,27.36,75000,10/24/19
HST,"Host Marriott Financial Trust",16.87,0.02,+0.12%,16.93,16.73,7111500,10/24/19
HT,"Hersha Hospitality Trust",14.16,0.22,+1.58%,14.25,13.96,292200,10/24/19
HTA,"Healthcare Trust of America",30.61,-0.11,-0.36%,30.68,30.28,1860600,10/24/19
HTBI,"Hometrust Bancshares",26.32,0.05,+0.19%,26.38,26.17,9500,10/23/19
HTBK,"Heritage Commerce",11.67,-0.05,-0.43%,11.79,11.6,148100,10/23/19
HTGC,"Hercules Technology Growth Capital",13.63,0.02,+0.15%,13.63,13.52,249900,10/23/19
HTH,"Hilltop Holdings Inc",23.91,-0.09,-0.37%,23.96,23.72,176400,10/24/19
HTHT,"Huazhu Group Ltd",36.51,1,+2.82%,36.49,34.81,1034100,10/24/19
HTLF,"Heartland Finl USA",45.91,0.06,+0.13%,45.91,45.47,57600,10/23/19
HURN,"Huron Consulting",58.91,-0.08,-0.14%,59.06,58.33,54700,10/23/19
HWC,"Hancock Whitney Corp",39.95,-0.3,-0.75%,40.01,39.94,297500,10/24/19
IBCP,"Independent Bk Cp",22.13,0.19,+0.87%,22.16,21.75,94600,10/23/19
IBKC,"Iberiabank Corp",73.85,-0.25,-0.34%,73.89,73.51,224000,10/24/19
IBKR,"Interactive Brokers",45.4,0.15,+0.33%,45.4,44.9,342600,10/24/19
IBN,"Icici Bank Ltd",12.69,-0.030000000000001,-0.24%,12.71,12.68,6227800,10/24/19
IBOC,"Intl Bancshares",40.19,-0.35,-0.86%,40.32,40.28,97900,10/24/19
IBTX,"Independent Bank Group",52.98,-0.090000000000003,-0.17%,53.24,52.01,289900,10/24/19
ICE,"Intercontinental Exchange",93.55,0.61999999999999,+0.67%,93.55,91.76,2098400,10/24/19
ICFI,"Icf International",80.73,-0.23,-0.28%,80.86,79.73,84500,10/23/19
ICMB,"Investcorp Credit Management Bdc Inc",6.66,0.15,+2.38%,6.71,6.47,18000,10/23/19
IFN,"India Fund",20.56,0.13,+0.64%,20.6,20.42,53500,10/23/19
IIPR,"Innovative Industrial Properties",71.07,-0.47000000000001,-0.66%,71.6,71.22,191900,10/24/19
ILPT,"Industrial Logistics Properties Trust",22.2,0.22,+1.00%,22.2,21.9,378000,10/23/19
IMH,"Impac Mortgage Holdings",7.4,-0.01,-0.13%,7.72,7.39,15800,10/23/19
INDB,"Independent Bk Corp",82.35,-0.45,-0.54%,82.35,81.83,118600,10/23/19
ING,"ING Groep N.V. ADR",11.61,0.049999999999999,+0.43%,11.63,11.56,4000,"09:40 ET"
INN,"Summit Hotel Properties",12.34,0.06,+0.49%,12.33,12.11,613900,10/24/19
INTL,"Intl Fcstone Inc",39.65,0.14,+0.35%,39.69,39.37,27500,10/23/19
INVH,"Invitation Homes Inc",30.76,-0.079999999999998,-0.26%,30.79,30.61,2330300,10/24/19
IRET,"Investors Real Estate Trust",78.91,0.47,+0.60%,79,78,63400,10/23/19
IRM,"Iron Mountain Inc",34.4,0.1,+0.29%,34.38,33.93,1650200,10/24/19
IRT,"Independence Realty Trust Inc",15.06,0.06,+0.40%,15.07,14.87,269500,10/24/19
ISBC,"Investors Bancorp",12.63,0.56,+4.64%,12.75,11.85,8213000,10/24/19
IT,"Gartner Inc",143.06,0.22,+0.15%,144.18,141.98,526700,10/24/19
ITUB,"Itau Unibanco Banco Holding S.A.",9.02,0.07,+0.78%,9.08,9.07,801,"09:40 ET"
IVR,"Invesco Mortgage Capital Inc",15.68,-0.07,-0.44%,15.76,15.75,1000,"09:40 ET"
IVZ,"Invesco Plc",17.33,0.049999999999997,+0.29%,17.4,17.33,892,"09:40 ET"
JBGS,"Jbg Smith Properties",39.87,0.48,+1.22%,39.89,39.29,428500,10/23/19
JEF,"Jefferies Financial Group Inc",19.1,0.09,+0.47%,19.24,18.69,917800,10/24/19
JHG,"Janus Henderson Group Plc",23.18,0.02,+0.09%,23.17,22.43,1791200,10/24/19
JLL,"Jones Lang Lasalle Inc",146.01,1.19,+0.82%,146.01,142.66,129000,10/24/19
JOBS,"51Job Inc",76.07,0.19,+0.25%,76.07,73.89,205600,10/24/19
JOE,"St. Joe Company",18.22,-0.15,-0.82%,18.22,18.05,58600,10/23/19
JP,"Jupai Holdings Ltd",2.08,0.18,+9.47%,2.09,1.83,70800,10/23/19
JPM,"JP Morgan Chase & Company",125.14,0.019999999999996,+0.02%,125.64,125.35,3836,"09:40 ET"
KB,"KB Financial Group Inc",37.17,-0.18,-0.48%,37.4,36.92,85000,10/23/19
KEY,Keycorp,18.23,0,0.00%,18.3,18.23,501,"09:39 ET"
KFY,"Korn/Ferry International",37,0.13,+0.35%,37,36.39,275500,10/23/19
KIM,"Kimco Realty Corp",21.1,-0.16,-0.75%,21.4,21.27,2529,"09:40 ET"
KKR,"KKR & Co. LP",28.73,0.13,+0.45%,28.81,27.32,4575200,10/24/19
KMPR,"Kemper Corp",72.84,-0.54,-0.74%,73.7,72.43,160600,10/23/19
KNSL,"Kinsale Capital Group Inc",104.43,-1.1,-1.04%,106.87,103.48,122400,10/23/19
KRC,"Kilroy Realty Corp",79.59,0.48,+0.61%,80.01,78.31,338500,10/24/19
KRG,"Kite Realty Group Trust",17.44,0.12,+0.69%,17.48,17.3,324600,10/23/19
KRNY,"Kearny Financial",13.6,0.01,+0.07%,13.65,13.56,97200,10/23/19
KW,"Kennedy-Wilson Holdings Inc",22.5,-0.039999999999999,-0.18%,22.5,22.49,343700,10/23/19
L,"Loews Corp",51.25,0.15,+0.29%,51.32,50.87,755000,10/24/19
LADR,"Ladder Capital Corp",17.36,-0.02,-0.12%,17.37,17.31,369100,10/24/19
LAMR,"Lamar Advertis A",82.2,-0.31999999999999,-0.39%,82.2,81.81,294200,10/23/19
LAND,"Gladstone Land Corp",11.89,-0.029999999999999,-0.25%,11.89,11.8,86900,10/24/19
LAZ,"Lazard Ltd",37.54,0.11,+0.29%,37.58,35.84,556700,10/24/19
LBAI,"Lakeland Bancorp Inc",15.99,0.17,+1.07%,15.93,15.67,66600,10/24/19
LC,"Lendingclub Corp",12.8,-0.1,-0.78%,12.98,12.76,230800,10/23/19
LCNB,"Lcnb Corp",18,0.09,+0.50%,18.11,17.95,10000,10/23/19
LEJU,"Leju Holdings Ltd",1.77,-0.02,-1.12%,1.77,1.75,5000,10/23/19
LFC,"China Life Insurance Company Ltd",12.47,0.030000000000001,+0.24%,12.48,12.35,220500,10/24/19
LGIH,"LGI Homes Inc",84.58,0.48999999999999,+0.58%,84.59,82.01,305300,10/24/19
LKFN,"Lakeland Finl Corp",45.54,-0.44,-0.96%,45.54,45.44,77100,10/24/19
LM,"Legg Mason Inc",36.36,0.079999999999998,+0.22%,36.45,35.09,618900,10/24/19
LMRK,"Landmark Common Units",17.87,0.06,+0.34%,17.9,17.52,56500,10/23/19
LNC,"Lincoln National Corp",62.1,0.29,+0.47%,62.1,60.78,1007300,10/24/19
LOB,"Live Oak Bancsh",17.33,-1.17,-6.32%,17.45,18.16,114200,10/24/19
LPLA,"Lpl Financial Hld",78.81,0.63,+0.81%,78.67,76.91,361600,10/24/19
LPT,"Liberty Property Trust",50.23,-0.030000000000001,-0.06%,50.3,49.79,813800,10/24/19
LSI,"Life Storage",107.47,-0.53,-0.49%,107.52,107.28,175700,10/24/19
LTC,"Ltc Properties",52.7,-0.18,-0.34%,53.06,52.2,172300,10/24/19
LTXB,"Legacytexas Fnl",45.29,-0.030000000000001,-0.07%,45.2,43.65,310800,10/24/19
LVS,"Las Vegas Sands",60.91,1.69,+2.85%,60.82,59.01,1326,"09:40 ET"
LX,"Lexinfintech Holdings Ltd",11.2,0.12,+1.08%,11.2,11.2,144,"08:00 ET"
LXP,"Lexington Realty Trust",10.68,-0.030000000000001,-0.28%,10.69,10.61,1043200,10/24/19
LYG,"Lloyds Banking Group Plc",3.06,0.01,+0.33%,3.07,3.07,96078,"09:39 ET"
MAA,"Mid-America Apartment Communities",135.23,-0.72,-0.53%,135.97,134.53,530000,10/24/19
MAC,"Macerich Company",28.67,-0.27,-0.93%,29,28.83,1613000,10/24/19
MAIN,"Main Street Capital Corp",43.04,0.27,+0.63%,43.04,42.36,332200,10/23/19
MANT,"Mantech Intl Cp A",68.36,0.14,+0.21%,68.72,67.01,81500,10/23/19
MAR,"Marriot Int Cl A",124.03,0.54000000000001,+0.44%,124.6,123,152,"09:40 ET"
MARA,"Marathon Patent Grou",1.25,-0.07,-5.30%,1.35,1.2,113600,10/23/19
MBI,"MBIA Inc",9.55,-0.02,-0.21%,9.61,9.51,406500,10/24/19
MBWM,"Mercantile Bank Corp",35.33,0.01,+0.03%,35.53,35.07,29700,10/23/19
MC,Moelis,31.84,0.050000000000001,+0.16%,31.99,30.93,567700,10/24/19
MCBC,"Macatawa Bank Corp",10.38,-0.05,-0.48%,10.43,10.35,25900,10/23/19
MCC,"Medley Capital Corp",2.09,0.01,+0.48%,2.16,2.08,317700,10/23/19
MCO,"Moody's Corp",214.47,2.5,+1.18%,214.47,209.75,975400,10/24/19
MCRI,"Monarch Casino",42.87,0.03,+0.07%,43.19,42.75,20400,10/23/19
MCY,"Mercury General Corp",54.27,0.54,+1.01%,54.35,53.81,119300,10/23/19
MET,"Metlife Inc",46.68,0.13,+0.28%,46.88,46.22,3069600,10/24/19
MFA,"MFA Financial Inc",7.59,-0.0099999999999998,-0.13%,7.62,7.58,1903200,10/24/19
MFC,"Manulife Financial Corp",18.82,0.059999999999999,+0.32%,18.9,18.74,1071500,10/24/19
MFG,"Mizuho Financial Group",3.09,-0.01,-0.32%,3.09,3.06,343100,10/23/19
MFIN,"Medallion Fin Cp",6.41,0.04,+0.63%,6.42,6.27,34000,10/23/19
MGI,"Moneygram Intl",4.05,-0.03,-0.74%,4.08,4.01,1481400,10/24/19
MGM,"MGM Resorts International",28.25,0.22,+0.78%,28.33,28.25,101,"09:40 ET"
MGP,"MGM Growth Properties Llc",31.17,0.38,+1.23%,31.27,30.66,810600,10/23/19
MGRC,"Mcgrath Rentcorp",68.63,1.04,+1.54%,68.94,67.46,60600,10/23/19
MITT,"Ag Mortgage Investment Trust",15.32,-0.1,-0.65%,15.4,15.29,90500,10/24/19
MKL,"Markel Corp",1135.53,-0.74,-0.07%,1149.99,1121.01,43800,10/23/19
MKTX,"Marketaxess Holdings",341.85,-0.32999999999998,-0.10%,349.97,337.52,312300,10/24/19
MLCO,"Melco Resorts & Entertainment",21.66,0.31,+1.45%,21.7,20.82,1852400,10/24/19
MMC,"Marsh & Mclennan Companies",98.86,-0.13,-0.13%,99.18,98.26,2234100,10/24/19
MMI,"Marcus & Millichap",36.01,-0.08,-0.22%,36.2,35.84,117500,10/23/19
MN,"Manning & Napier Inc",1.73,-0.02,-1.14%,1.8,1.73,14100,10/23/19
MNR,"Monmouth Real Estate Investment Corp",14.68,-0.050000000000001,-0.34%,14.7,14.6,169400,10/24/19
MPW,"Medical Properties Trust",20.41,-0.09,-0.44%,20.51,20.11,4331600,10/24/19
MRCC,"Monroe Capital Corp",10.95,0.069999999999999,+0.64%,11.02,11.05,3165,"09:37 ET"
MRLN,"Marlin Business Serv",24.08,0.05,+0.21%,24.21,23.89,5800,10/23/19
MS,"Morgan Stanley",45.95,0.040000000000006,+0.09%,46.13,45.98,1846,"09:40 ET"
MTB,"M&T Bank Corp",157.54,-0.26000000000002,-0.16%,158.02,155.24,678100,10/24/19
MTG,"Mgic Investment Corp",14.18,0.06,+0.42%,14.21,13.99,2947700,10/24/19
MUFG,"Mitsubishi Ufj Financial Group Inc",5.2,0.02,+0.39%,5.2,5.06,595900,10/24/19
MVC,"MVC Capital",9.05,-0.02,-0.22%,9.1,8.98,69100,10/23/19
NAVI,"Navient Cp",13,0.06,+0.46%,13.05,12.26,2551500,10/24/19
NBHC,"National Bank Holdings Corp",34.07,-0.88,-2.52%,34.28,34.16,207200,10/24/19
NBTB,"NBT Bancorp Inc",37.64,0.009999999999998,+0.03%,37.64,37.4,153300,10/23/19
NDAQ,"Nasdaq Inc",101.49,0.17999999999999,+0.18%,101.98,98.19,1365700,10/24/19
NEWT,"Newtek Bus Svcs",22.35,0.1,+0.45%,22.47,22.3,87300,10/23/19
NFBK,"Northfield Bncrp Del",16.87,0.03,+0.18%,16.94,16.69,45000,10/23/19
NGHC,"National General Hld",22.07,0.039999999999999,+0.18%,22.07,21.96,136000,10/24/19
NHI,"National Health Investors",86.37,0.16000000000001,+0.19%,86.37,84.8,188600,10/23/19
NLY,"Annaly Capital Management Inc",8.93,-0.030000000000001,-0.33%,8.95,8.93,3091,"09:40 ET"
NMFC,"New Mountain Finance Corp",13.43,0.02,+0.15%,13.44,13.39,600,"09:37 ET"
NMIH,"Nmi Holdings Inc",29.91,0.030000000000001,+0.10%,29.91,29.34,365800,10/24/19
NMR,"Nomura Holdings Inc ADR",4.65,0.08,+1.75%,4.65,4.6,182800,10/24/19
NMRK,"Newmark Group Inc Cl A",9.87,-0.090000000000002,-0.90%,9.88,9.85,514700,10/24/19
NNI,"Nelnet Inc",60.92,0.18,+0.30%,61.21,60.19,38100,10/23/19
NNN,"National Retail Properties",57.5,-0.11,-0.19%,57.65,57.1,831800,10/24/19
NOAH,"Noah Holdings Ltd",30.3,1.04,+3.55%,30.69,29.12,294500,10/24/19
NRZ,"New Residential Investment Corp",15.73,-0.09,-0.57%,15.8,15.8,1316,"09:40 ET"
NSA,"National Storage Affiliates Tru",35.32,-0.089999999999996,-0.25%,35.49,35.17,321900,10/24/19
NTP,"Nam Tai Electronics",8.87,-0.16,-1.77%,8.87,8.88,7900,10/23/19
NTRS,"Northern Trust Corp",100.7,0.54000000000001,+0.54%,100.77,96.39,1843700,10/24/19
NWBI,"Northwest Bancshares",17.15,-0.060000000000002,-0.35%,17.2,17.15,520700,10/24/19
NXRT,"Nexpoint Residential Trust Inc",48.17,0.050000000000004,+0.10%,48.17,47.89,102500,10/23/19
NYCB,"New York Community Bancorp",13.26,-0.02,-0.15%,13.26,13.17,3334100,10/24/19
NYMT,"New York Mtge Trust",6.19,-0.04,-0.64%,6.23,6.2,2677900,10/24/19
O,"Realty Income Corp",80.19,-0.11,-0.14%,80.52,80.6,150,"09:40 ET"
OCFC,"Oceanfirst Finl Corp",23.81,-0.22,-0.92%,24.01,23.82,111100,10/24/19
OCN,"Ocwen Financial Corp",1.77,0.01,+0.57%,1.78,1.75,219600,10/23/19
OCSI,"Oaktree Strategic Income Corp",8.18,0.08,+0.99%,8.18,8.11,10000,10/23/19
OCSL,"Oaktree Specialty Lending Corp",5.15,-0.05,-0.96%,5.16,5.14,281500,10/24/19
OFC,"Corporate Office Properties",30.03,0.07,+0.23%,30.16,29.84,364600,10/23/19
OFG,"Oriental Financial Group",20.6,-0.26,-1.25%,20.73,20.61,348800,10/24/19
OHI,"Omega Healthcare Investors",44.39,-0.009999999999998,-0.02%,44.52,44.75,203,"09:40 ET"
OLP,"One Liberty Properties",28.18,0.07,+0.25%,28.42,27.94,27000,10/23/19
OMF,"Onemain Holdings Inc",36.78,0.009999999999998,+0.03%,36.85,36.65,560400,10/24/19
ONB,"Old National Bncp",17.98,-0.15,-0.83%,18.08,17.79,940200,10/24/19
ONDK,"On Deck Capital Inc",4.33,0.7,+19.28%,4.27,3.61,493800,10/24/19
OPB,"Opus Bank",23.87,-0.02,-0.08%,23.91,23.74,127500,10/24/19
OPI,"Office Properties Income Trust",32.81,-0.079999999999998,-0.24%,32.81,32.06,164900,10/23/19
OPY,"Oppenheimer Holdings",28.19,0.040000000000003,+0.14%,28.18,27.72,59800,10/24/19
ORC,"Orchid Island Capital Inc",5.71,-0.14,-2.39%,5.82,5.85,319,"09:37 ET"
ORI,"Old Republic International Corp",23.52,-0.39,-1.63%,23.8,23.73,1217500,10/24/19
ORIT,"Oritani Financial",18.66,-0.050000000000001,-0.27%,18.83,18.61,58900,10/24/19
OSBC,"Old Second Bancorp",13,0.41,+3.26%,13,13,205,"09:12 ET"
OUT,"Outfront Media Inc",26.99,0.11,+0.41%,27.1,26.66,552900,10/23/19
OXSQ,"Oxford Square Capital Corp",5.94,0,0.00%,5.96,5.93,65300,10/23/19
OZK,"Bank Ozk",29.78,-0.2,-0.67%,29.78,29.32,766000,10/24/19
PACW,"Pacwest Bancorp",37.06,-0.22,-0.59%,37.15,37.01,551100,10/24/19
PB,"Prosperity Bancshares",73.87,-0.079999999999998,-0.11%,74.35,72.15,970700,10/24/19
PBCT,"People's United Finl",16.9,-0.040000000000003,-0.24%,16.97,16.65,3078500,10/24/19
PCH,"Potlatch Cp",43.13,-0.089999999999996,-0.21%,43.58,42.91,472500,10/24/19
PCSB,"Pcsb Financial Corp",20.4,0.25,+1.24%,20.4,20.05,31300,10/23/19
PDM,"Piedmont Office Realty Trust",21.1,0.19,+0.91%,21.11,20.84,519000,10/23/19
PEB,"Pebblebrook Hotel Trust",26.85,-0.039999999999999,-0.15%,26.93,26.59,1049300,10/24/19
PEBO,"Peoples Bancorp Inc",32.85,-0.06,-0.18%,33.3,32.51,29000,10/23/19
PEI,"Pennsylvania Real Estate Investment",6.29,0.02,+0.32%,6.29,6.3,415,"09:39 ET"
PENN,"Penn Natl Gaming Inc",21.44,0.14,+0.66%,21.42,20.55,3670700,10/24/19
PEO,"Adams Natural Resources Fund Inc",16.06,0.26,+1.65%,16.06,15.76,138100,10/23/19
PFBC,"Preferred Bank LA",53.1,0.03,+0.06%,53.26,52.68,50200,10/23/19
PFG,"Principal Financial Group Inc",57.63,0.3,+0.52%,57.66,56.68,602100,10/24/19
PFLT,"Pennantpark Fltng Rt",11.54,0.03,+0.26%,11.58,11.47,127800,10/23/19
PFS,"Provident Financial Services",25.01,-0.03,-0.12%,25.1,24.89,107400,10/23/19
PFSI,"Pennymac Financial Services IN",31.92,-0.079999999999998,-0.25%,32.05,31.94,287700,10/24/19
PGC,"Peapack Gladstone FI",28,0,0.00%,28.01,27.67,33700,10/23/19
PGR,"Progressive Corp",68.82,0.41999999999999,+0.61%,68.99,67.94,3884700,10/24/19
PGRE,"Paramount Group Inc",13.17,-0.02,-0.15%,13.19,13.02,1765400,10/24/19
PICO,"Pico Holdings Inc",10.54,-0.050000000000001,-0.47%,10.56,10.38,28600,10/24/19
PINC,"Premier Inc Cl A",33.56,0.19,+0.57%,33.53,33.28,530100,10/24/19
PJC,"Piper Jaffray Companies",73.73,-0.5,-0.67%,73.83,72.95,49600,10/24/19
PJT,"Pjt Partners Inc Cl A",39.32,-0.74,-1.85%,40.02,39.24,58400,10/23/19
PK,"Park Hotels & Resorts Inc",23.95,0.11,+0.46%,24.01,24,1200,"09:40 ET"
PLD,"Prologis Inc",91.91,0.039999999999992,+0.04%,92.2,90.54,2179600,10/24/19
PLYA,"Playa Hotels & Resorts N.V.",7.99,0.1,+1.27%,8.01,7.85,91400,10/23/19
PMT,"Pennymac Mortgage Investment Trust",22.94,-0.09,-0.39%,23.03,22.84,621100,10/24/19
PNC,"PNC Bank",146.13,-0.24000000000001,-0.16%,146.27,144.7,1106400,10/24/19
PNFP,"Pinnacle Finl Ptnrs",59.46,-0.31,-0.52%,60.25,59.27,283300,10/23/19
PNNT,"Pennantpark Investme",6.14,-0.04,-0.65%,6.15,6.18,700,"09:32 ET"
PPBI,"Pacific Premier Bncp",33.47,1,+3.08%,33.47,32.27,706100,10/23/19
PPDF,"Ppdai Group Inc",2.73,0.03,+1.11%,2.76,2.82,101,"09:37 ET"
PRA,"Pro-Assurance Corp",40.26,-0.02,-0.05%,40.41,39.88,109400,10/23/19
PRAA,"Pra Group Inc",34.47,-0.079999999999998,-0.23%,34.47,34.35,81900,10/23/19
PRI,"Primerica Inc",126.09,0.34,+0.27%,126.09,125.03,80200,10/24/19
PRK,"Park National Corp",98.9,0.21,+0.21%,99.23,97.39,41500,10/23/19
PRU,"Prudential Financial Inc",91.72,0.15000000000001,+0.16%,92.24,90.14,1795300,10/24/19
PSA,"Public Storage",240.33,-0.089999999999975,-0.04%,240.92,238.24,822400,10/24/19
PSB,"Business Parks",180.63,-2.65,-1.45%,183.54,159.41,175500,10/23/19
PSEC,"Prospect Capital Cp",6.57,-0.0099999999999998,-0.15%,6.57,6.54,1130600,10/24/19
PTMN,"Portman Ridge Finance Corp",2.26,0.01,+0.44%,2.26,2.22,41800,10/23/19
PTVCB,"Protective Insurance Corp Cl B",16.17,-0.04,-0.25%,16.23,16.13,16400,10/23/19
PUK,"Prudential Public Ltd Company",42.51,0.27,+0.64%,42.51,42.47,2350,"09:38 ET"
PZN,"Pzena Investment Management Inc",8.55,0.17,+2.03%,8.73,8.39,48900,10/23/19
QCRH,"Qcr Holdings Inc",39.32,0.07,+0.18%,39.49,39.06,53800,10/23/19
QD,"Qudian Inc ADR",6.58,0.08,+1.23%,6.62,6.61,2920,"09:40 ET"
QTS,"Qts Realty Trust Inc",52.67,0.16,+0.30%,53.19,52.45,342400,10/23/19
RBCAA,"Republic Bancorp Inc",44.44,-0.23,-0.51%,45.3,44.26,6000,10/23/19
RBS,"Royal Bank Scotland Group Plc",5.88,-0.19,-3.13%,5.89,5.87,25599,"09:38 ET"
RCM,"R1 Rcm Inc",10.37,-0.020000000000001,-0.19%,10.43,10.18,1189000,10/24/19
RDFN,"Redfin Corp",18.27,-0.2,-1.08%,18.31,18.8,156,"09:38 ET"
RDN,"Radian Group Inc",24.65,0.029999999999998,+0.12%,24.74,24.43,972700,10/24/19
RE,"Everest Re Group",248.42,-0.88000000000002,-0.35%,249.67,248.46,247800,10/24/19
REG,"Regency Centers Corp",69.09,-0.2,-0.29%,69.25,68.14,1471600,10/24/19
RESI,"Altisource Residential Corp",12.18,0.16,+1.33%,12.2,11.94,123700,10/23/19
REXR,"Rexford Industrial Realty Inc",46.84,0.17,+0.36%,46.84,46.22,659200,10/24/19
RF,"Regions Financial Corp",16.26,-0.02,-0.12%,16.34,16.08,7951300,10/24/19
RFL,"Rafael Holdings Inc",19.17,-0.15,-0.78%,19.61,19.06,48400,10/23/19
RGA,"Reinsurance Group of America Inc",156.65,-0.9,-0.57%,158.68,156.3,146000,10/23/19
RHP,"Ryman Hospitality Properties REIT",84.99,-0.37,-0.43%,85.8,84.63,298400,10/23/19
